model_id,model_name,model_family,developer,sizes,types,benchmark_count,total_results,avg_score,model_type,model_size,provider,type,base_model,year_evaluated,inference_platform,inference_engine,organization,release_date,architecture,context_window,license,url,parameters_billion,release_date_source
RWKV-4-Raven-14B,RWKV-4-Raven-14B,RWKV,RWKV,14B,open,2.0,2.0,493.15,,,,,,,,,,2023-04,,,,,,sourced_evidence
Alpaca-13B,Alpaca-13B,Alpaca,Stanford,13B,open,1.0,1.0,916.00,,,,,,,,,,2023-03,,,,,,single_hermes
OpenAssistant-Pythia-12B,OpenAssistant-Pythia-12B,Openassistant,,12B,open,1.0,1.0,908.00,,,,,,,,,,2023-02,,,,,,single_hermes
ChatGLM-6B,ChatGLM-6B,ChatGLM,Zhipu AI,6B,open,1.0,1.0,894.00,,,,,,,,,,2023-03,,,,,,hf_createdat
FastChat-T5-3B,FastChat-T5-3B,Fastchat,,3B,open,1.0,1.0,883.00,,,,,,,,,,2023-05,,,,,,sourced_evidence
GPT-5.2 Codex,GPT-5.2 Codex,gpt,OpenAI,,closed,1.0,1.0,74.30,closed,,,,,,,,,2025-12,,,,,,web_cited
GPT-5.1 Codex Max,GPT-5.1 Codex Max High,gpt,OpenAI,,closed,1.0,1.0,73.98,closed,,,,,,,,,2025-11,,,,,,web_cited
GPT-5.3 Codex,GPT-5.3 Codex High,gpt,OpenAI,,closed,1.0,1.0,72.76,closed,,,,,,,,,2026-02,,,,,,web_cited
GPT-5 Pro,GPT-5 Pro,gpt,OpenAI,,closed,2.0,2.0,67.83,closed,,,,,,,,,2025-08,,,,,,web_cited
GLM 5.1,GLM 5.1,GLM,Zhipu AI,,open,1.0,1.0,70.18,,,,,,,,,,2026-04,,,,,,hf_createdat
GPT-5.4 Nano,GPT-5.4 Nano xHigh,gpt,OpenAI,,closed,7.0,7.0,70.35,closed,,,,,,,,,2026-03,,,,,,web_cited
GPT-5.1 Codex,GPT-5.1 Codex,gpt,OpenAI,,closed,1.0,1.0,68.61,closed,,,,,,,,,2025-11,,,,,,web_verified
Grok 4.20 Beta,Grok 4.20 Beta,Grok,xAI,,closed,1.0,1.0,67.96,,,,,,,,,,2023-11,,,,,,single_hermes
GPT-5.4 Mini,GPT-5.4 Mini xHigh,gpt,OpenAI,,closed,10.0,10.0,126.57,closed,,,,,,,,,2026-03,,,,,,web_cited
GPT-5 mini,GPT-5 Mini High,gpt,OpenAI,,closed,54.0,54.0,64.28,closed,,,,,,,,,2025-08,,,,,,sourced_evidence
Minimax M2.7,Minimax M2.7,MiniMax,MiniMax,,open,1.0,1.0,63.49,,,,,,,,,,2026-04,,,,,,hf_createdat
DeepSeek V3.2,DeepSeek V3.2 Thinking,deepseek,DeepSeek,,open,1.0,1.0,62.20,closed,,,,,,,,,2025-12,,,,,,web_cited
Grok 4,Grok 4,Grok,xAI,,closed,24.0,24.0,100.28,,,,,,,,,,2023-11,,,,,,single_hermes
Kimi K2,Kimi K2 Thinking,Moonshot,Moonshot AI,,closed,7.0,7.0,69.24,,,,,,,,,,2025-11,,,,,,hf_createdat
GPT-5.1 Codex Mini,GPT-5.1 Codex Mini,gpt,OpenAI,,closed,1.0,1.0,60.38,closed,,,,,,,,,2025-11,,,,,,web_verified
Minimax M2.5,Minimax M2.5,MiniMax,MiniMax,,open,1.0,1.0,60.14,,,,,,,,,,2026-02,,,,,,hf_createdat
GPT-5.3 Instant,GPT-5.3 Instant,gpt,OpenAI,,closed,1.0,1.0,59.99,closed,,,,,,,,,2026-03,,,,,,web_verified
Grok 4.1 Fast,Grok 4.1 Fast,Grok,xAI,,closed,1.0,1.0,59.99,,,,,,,,,,2023-11,,,,,,single_hermes
GLM 4.7,GLM 4.7,GLM,Zhipu AI,,open,1.0,1.0,58.09,,,,,,,,,,2025-12,,,,,,hf_createdat
GLM 5V Turbo,GLM 5V Turbo,GLM,Zhipu AI,,open,1.0,1.0,49.62,,,,,,,,,,2026-04,,,,,,web_verified
GPT-5.2 No,GPT-5.2 No Thinking,gpt,OpenAI,,closed,1.0,1.0,48.91,closed,,,,,,,,,2025-12,,,,,,web_verified
GPT-5 nano,GPT-5 Nano High,gpt,OpenAI,,closed,7.0,7.0,84.75,closed,,,,,,,,,2025-08,,,,,,web_cited
Grok Code Fast,Grok Code Fast,Grok,xAI,,closed,1.0,1.0,45.13,,,,,,,,,,2025-08,,,,,,web_verified
GPT-5.1 No,GPT-5.1 No Thinking,gpt,OpenAI,,closed,1.0,1.0,42.65,closed,,,,,,,,,2025-11,,,,,,web_cited
GLM 4.6V,GLM 4.6V,GLM,Zhipu AI,,open,1.0,1.0,40.07,,,,,,,,,,2025-12,,,,,,hf_createdat
Nemotron 3 Super 120B A12B,Nemotron 3 Super 120B A12B,Nemotron,Nvidia,120B,open,1.0,1.0,32.51,,,,,,,,,,2026-03,,,,,,web_verified
codetulu-2-34b,codetulu-2-34b,Tulu,AllenAI,34B,open,1.0,1.0,49.30,,,,,,,,,,2023-11,,,,,,sourced_evidence
phind,phind,Phind,Phind,,open,1.0,1.0,47.20,,,,,,,,,,2023-11,,,,,,single_hermes
deepseek-base-33b,deepseek-base-33b,deepseek,DeepSeek,33B,open,1.0,1.0,46.50,closed,,,,,,,,,2024-01,,,,,,single_haiku
deepseek-instruct-33b,deepseek-instruct-33b,deepseek,DeepSeek,33B,open,1.0,1.0,46.50,closed,,,,,,,,,2024-01,,,,,,single_haiku
codellama-python-34b,codellama-python-34b,codellama,Meta,34B,open,1.0,1.0,43.90,open,,,,,,,,,2023-08,,,,,,corroborated_month
wizard-34b,wizard-34b,WizardLM,Microsoft,34B,open,1.0,1.0,42.70,,,,,,,,,,2023-04,,,,,,single_haiku
codellama-13b,codellama-13b,codellama,Meta,13B,open,3.0,3.0,28.50,open,,,,,,,,,2023-08,,,,,,corroborated_month
deepseek-base-6.7b,deepseek-base-6.7b,deepseek,DeepSeek,6.7B,open,1.0,1.0,41.90,closed,,,,,,,,,2023-12,,,,,,single_haiku
magicoder-ds-6.7b,magicoder-ds-6.7b,Magicoder,ISE UIUC,6.7B,open,1.0,1.0,41.70,,,,,,,,,,2023-12,,,,,,sourced_evidence
codellama-python-13b,codellama-python-13b,codellama,Meta,13B,open,1.0,1.0,39.70,open,,,,,,,,,2023-08,,,,,,corroborated_month
deepseek-instruct-6.7b,deepseek-instruct-6.7b,deepseek,DeepSeek,6.7B,open,1.0,1.0,37.40,closed,,,,,,,,,2023-12,,,,,,single_haiku
codellama-python-7b,codellama-python-7b,codellama,Meta,7B,open,1.0,1.0,37.30,open,,,,,,,,,2023-08,,,,,,corroborated_month
wizard-13b,wizard-13b,WizardLM,Microsoft,13B,open,1.0,1.0,36.50,,,,,,,,,,2023-04,,,,,,single_haiku
codellama-7b,codellama-7b,codellama,Meta,7B,open,4.0,4.0,24.39,open,,,,,,,,,2023-08,,,,,,corroborated_month
starcoderbase-16b,starcoderbase-16b,StarCoder Base,BigCode,16B,open,1.0,1.0,31.30,,,,,,,,,,2023,,,,,,corroborated_year
deepseek-base-1.3b,deepseek-base-1.3b,deepseek,DeepSeek,1.3B,open,1.0,1.0,27.80,closed,,,,,,,,,2023-12,,,,,,single_haiku
deepseek-instruct-1.3b,deepseek-instruct-1.3b,deepseek,DeepSeek,1.3B,open,1.0,1.0,27.20,closed,,,,,,,,,2023-12,,,,,,single_haiku
phi-1.5,phi-1.5,Phi-2,Microsoft,,open,13.0,13.0,27.10,,,,,,,,,,2023,,,,,,corroborated_year
llama2-chat-7b,Llama2-Chat-7B,llama2,,,,2.0,2.0,46.45,open,,,,,,,,,2023-07,,,,,,corroborated_month
llama-2-13b-base,Llama-2-13b-base,llama,,,,1.0,1.0,31.76,open,,,,,,,,,2023-07,,,,,,corroborated_month
chatglm3-66b,ChatGLM3-66B,chatglm,,,,1.0,1.0,71.00,,,,,,,,,,2024-06,,,,,,sourced_evidence
yi-chat-6b,Yi-Chat-6B,yi,,,,1.0,1.0,50.50,,,,,,,,,,2023,,,,,,corroborated_year
baichuan2-chat-53b,Baichuan2-Chat-53B,baichuan-2,,,,1.0,1.0,43.88,,,,,,,,,,2023-09,,,,,,single_haiku
baichuan2-chat-13b,Baichuan2-Chat-13B,baichuan-2,,,,1.0,1.0,52.00,,,,,,,,,,2023-09,,,,,,single_haiku
baichuan2-chat-7b,Baichuan2-Chat-7B,baichuan-2,,,,1.0,1.0,59.50,,,,,,,,,,2023-09,,,,,,single_haiku
llama2-chat-13b,Llama2-Chat-13B,llama2,,,,1.0,1.0,68.00,open,,,,,,,,,2023-07,,,,,,corroborated_month
gemini,gemini,gemini,,,,1.0,1.0,52.44,closed,,,,,,,,,2023-12,,,,,,single_haiku
claude,claude,claude,,,,3.0,3.0,38.46,closed,,,,,,,,,2023-03,,,,,,sourced_evidence
mistral-large-instruct,Mistral-large-Instruct,mistral,,,,1.0,1.0,1438.33,open,,,,,,,,,2023-12,,,,,,single_haiku
qwen-plus,Qwen Plus,qwen,,,,1.0,1.0,4.50,open,,,,,,,,,2023-08,,,,,,single_hermes
deepseek-chat,deepseek-chat,deepseek,,,,2.0,2.0,20.32,closed,,,,,,,,,2024-12,,,,,,web_cited
higgs-llama,higgs-llama,higgs,,,,1.0,1.0,0.43,open,,,,,,,,,2023-02,,,,,,single_haiku
DeepSeek-R1-Zero,DeepSeek-R1-Zero,DeepSeek-V3,DeepSeek,671B,MoE,2.0,2.0,55.73,open-weights,,,,,,,,,2025-01,,,,,,hf_createdat
olmo-2-1124-13b-instruct,OLMo-2-1124-13B-Instruct,OLMo-2,AllenAI,13B,Dense,1.0,1.0,0.45,open-weights,,,,,,,,,2024-12,,,,,,hf_createdat
PaLM-2-Bison,PaLM-2-Bison,,,,,11.0,11.0,49.43,Unknown,,,,,,,,Unknown,2023-05,,,,,,sourced_evidence
doubao-seed-1.6,Doubao Seed 1.6,Doubao,,,,1.0,1.0,6.05,,,,proprietary,,,,,ByteDance,,transformer,32000.0,proprietary,https://www.volcengine.com/docs/82379/1099320,,
phi-4,microsoft/phi-4,,,,,12.0,12.0,141.51,unknown,,,,,,,,,2024-12,,,,,,web_verified
phi-3.5-moe-instruct,microsoft/phi-3.5-moe-instruct,,,,,7.0,8.0,47.23,unknown,,,,,,,,,2024-08,,,,,,web_verified
phi-3.5-mini-instruct,microsoft/phi-3.5-mini-instruct,,,,,7.0,7.0,33.30,unknown,,,,,,,,,2024-08,,,,,,web_verified
gemma2-2b,google/gemma2-2b,,,,,6.0,6.0,10.13,unknown,,,,,,,,,2024-07,,,,,,web_cited
gemma-2-27b-it,google/gemma-2-27b-it,,,,,9.0,9.0,174.82,unknown,,,,,,,,,2024-06,,,,,,web_cited
mixtral-8x22b-instruct-v0.1,mistral-ai/mixtral-8x22b-instruct-v0.1,,,,,14.0,14.0,134.11,unknown,,,,,,,,,2024-04,,,,,,hf_createdat
gemma-1.1-7b-it,google/gemma-1.1-7b-it,,,,,15.0,15.0,108.53,unknown,,,,,,,,,2024-04,,,,,,web_cited
gemma-7b-it,google/gemma-7b-it,,,,,16.0,16.0,93.42,unknown,,,,,,,,,2024-02,,,,,,web_cited
gemma-1.1-2b-it,google/gemma-1.1-2b-it,,,,,8.0,8.0,135.96,unknown,,,,,,,,,2024-04,,,,,,web_cited
gemma-2b-it,google/gemma-2b-it,,,,,15.0,15.0,87.64,unknown,,,,,,,,,2024-02,,,,,,web_cited
Qwen1.5-110B-Chat,Qwen/Qwen1.5-110B-Chat,,,,,14.0,14.0,130.51,unknown,,,,,,,,,2023,,,,,,corroborated_year
Qwen1.5-72B-Chat,Qwen/Qwen1.5-72B-Chat,,,,,10.0,10.0,163.86,unknown,,,,,,,,,2023,,,,,,corroborated_year
Qwen1.5-32B-Chat,Qwen/Qwen1.5-32B-Chat,,,,,14.0,14.0,123.95,unknown,,,,,,,,,2023,,,,,,corroborated_year
Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,,,,,21.0,21.0,179.90,unknown,,,,,,,,,2024-04,,,,,,hf_createdat
Qwen2.5-32B-Instruct,Qwen/Qwen2.5-32B-Instruct,,,,,10.0,10.0,44.76,unknown,,,,,,,,,2024-09,,,,,,web_verified
granite-3.0-8b-instruct,ibm-granite/granite-3.0-8b-instruct,,,,,8.0,8.0,160.95,unknown,,,,,,,,,2024-10,,,,,,hf_createdat
granite-3.0-2b-instruct,ibm-granite/granite-3.0-2b-instruct,,,,,8.0,8.0,152.48,unknown,,,,,,,,,2024-10,,,,,,hf_createdat
Qwen2.5-Coder-32B-Instruct,Qwen/Qwen2.5-Coder-32B-Instruct,,,,,9.0,9.0,180.22,unknown,,,,,,,,,2024-11,,,,,,web_verified
DeepSeek-R1-Distill-Llama-70B,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,,,,,9.0,9.0,38.29,unknown,,,,,,,,,2025-01,,,,,,web_verified
DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,,,,32.0,37.0,27.98,unknown,,,,,,,,,2025-01,,,,,,web_verified
QwQ-32B-Preview,Qwen/QwQ-32B-Preview,,,,,8.0,8.0,178.39,unknown,,,,,,,,,2024-11,,,,,,hf_createdat
14B,CausalLM/14B,,CausalLM,,,6.0,6.0,17.24,open,,,,,,,,,2023-10,,,,,,hf_createdat
34b-beta,CausalLM/34b-beta,,CausalLM,,,6.0,6.0,23.30,open,,,,,,,,,2024-02,,,,,,hf_createdat
preview-1-hf,CausalLM/preview-1-hf,,CausalLM,,,6.0,6.0,16.71,open,,,,,,,,,,,,,,,
Claude 4,Claude 4,claude,Anthropic,,,1.0,1.0,0.19,closed,,,,,,,,,2025-05,,,,,,web_verified
DeciCoder-1b,Deci/DeciCoder-1b,,Deci AI,,,6.0,6.0,29.37,open,,,,,,,,,2023-05,,,,,,sourced_evidence
gpt-neo-1.3B,EleutherAI/gpt-neo-1.3B,,EleutherAI,,,12.0,12.0,19.49,open,,,,,,,,,2021-03,,,,,,single_haiku
gpt-neo-125m,EleutherAI/gpt-neo-125m,,EleutherAI,,,12.0,12.0,16.94,open,,,,,,,,,2021-03,,,,,,single_haiku
gpt-neo-2.7B,EleutherAI/gpt-neo-2.7B,,EleutherAI,,,12.0,12.0,21.31,open,,,,,,,,,2021-03,,,,,,single_haiku
llemma_34b,EleutherAI/llemma_34b,,EleutherAI,,,6.0,7.0,58.14,open,,,,,,,,,2023-09,,,,,,hf_createdat
llemma_7b,EleutherAI/llemma_7b,,EleutherAI,,,6.0,7.0,46.98,open,,,,,,,,,2023-09,,,,,,hf_createdat
polyglot-ko-12.8b,EleutherAI/polyglot-ko-12.8b,,EleutherAI,,,7.0,7.0,32.75,open,,,,,,,,,2022-10,,,,,,hf_createdat
pythia-1.3b,EleutherAI/pythia-1.3b,,EleutherAI,,,6.0,6.0,34.46,open,,,,,,,,,2023-02,,,,,,corroborated_month
pythia-1.4b,EleutherAI/pythia-1.4b,,EleutherAI,,,12.0,12.0,20.38,open,,,,,,,,,2023-02,,,,,,corroborated_month
pythia-1.4b-deduped,EleutherAI/pythia-1.4b-deduped,,EleutherAI,,,6.0,6.0,35.00,open,,,,,,,,,2023-02,,,,,,corroborated_month
pythia-12b-deduped,EleutherAI/pythia-12b-deduped,,EleutherAI,,,6.0,6.0,39.70,open,,,,,,,,,2023-02,,,,,,corroborated_month
pythia-160m,EleutherAI/pythia-160m,,EleutherAI,,,12.0,12.0,17.37,open,,,,,,,,,2023-02,,,,,,corroborated_month
pythia-160m-deduped,EleutherAI/pythia-160m-deduped,,EleutherAI,,,6.0,6.0,29.38,open,,,,,,,,,2023-02,,,,,,corroborated_month
pythia-1b-deduped,EleutherAI/pythia-1b-deduped,,EleutherAI,,,6.0,6.0,32.78,open,,,,,,,,,2023-02,,,,,,corroborated_month
pythia-2.7b,EleutherAI/pythia-2.7b,,EleutherAI,,,6.0,6.0,37.09,open,,,,,,,,,2023-02,,,,,,corroborated_month
pythia-2.8b,EleutherAI/pythia-2.8b,,EleutherAI,,,6.0,6.0,5.55,open,,,,,,,,,2023-02,,,,,,corroborated_month
pythia-2.8b-deduped,EleutherAI/pythia-2.8b-deduped,,EleutherAI,,,6.0,6.0,36.72,open,,,,,,,,,2023-02,,,,,,corroborated_month
pythia-410m,EleutherAI/pythia-410m,,EleutherAI,,,12.0,12.0,18.39,open,,,,,,,,,2023-02,,,,,,corroborated_month
pythia-410m-deduped,EleutherAI/pythia-410m-deduped,,EleutherAI,,,6.0,6.0,31.29,open,,,,,,,,,2023-02,,,,,,corroborated_month
pythia-6.7b,EleutherAI/pythia-6.7b,,EleutherAI,,,6.0,6.0,38.06,open,,,,,,,,,2023-02,,,,,,corroborated_month
pythia-6.9b-deduped,EleutherAI/pythia-6.9b-deduped,,EleutherAI,,,6.0,6.0,39.30,open,,,,,,,,,2023-02,,,,,,corroborated_month
pythia-70m,EleutherAI/pythia-70m,,EleutherAI,,,6.0,6.0,28.93,open,,,,,,,,,2023-02,,,,,,corroborated_month
pythia-70m-deduped,EleutherAI/pythia-70m-deduped,,EleutherAI,,,6.0,6.0,28.44,open,,,,,,,,,2023-02,,,,,,corroborated_month
AceGPT-7B,FreedomIntelligence/AceGPT-7B,,FreedomIntelligence,,,6.0,6.0,49.47,open,,,,,,,,,2023-09,,,,,,sourced_evidence
phoenix-inst-chat-7b,FreedomIntelligence/phoenix-inst-chat-7b,BLOOMZ,FreedomIntelligence,,,6.0,6.0,43.03,open,,,,BLOOMZ (7.1B),,,,,2023-07,,,,,,sourced_evidence
mistral-7b-grok,HuggingFaceH4/mistral-7b-grok,,Hugging Face,,,6.0,6.0,59.37,open,,,,,,,,,2024-01,,,,,,hf_createdat
mistral-7b-sft-beta,HuggingFaceH4/mistral-7b-sft-beta,,Hugging Face,,,6.0,6.0,59.78,open,,,,,,,,,2023-09,,,,,,corroborated_month
starchat-alpha,HuggingFaceH4/starchat-alpha,StarCoder,Hugging Face,,,6.0,6.0,35.49,open,,,,StarCoder (15.5B),,,,,2023-05,,,,,,hf_createdat
starchat-beta,HuggingFaceH4/starchat-beta,StarCoder,Hugging Face,,,6.0,6.0,49.66,open,,,,StarCoder (15.5B),,,,,2023-06,,,,,,hf_createdat
zephyr-7b-alpha,HuggingFaceH4/zephyr-7b-alpha,Mistral,Hugging Face,,,13.0,13.0,117.27,open,,,,Mistral v0.1 (7B),,,,,2023-10,,,,,,hf_createdat
zephyr-7b-beta,HuggingFaceH4/zephyr-7b-beta,Mistral,Hugging Face,,,13.0,13.0,118.94,open,,,,Mistral v0.1 (7B),,,,,2023-10,,,,,,hf_createdat
zephyr-7b-gemma-v0.1,HuggingFaceH4/zephyr-7b-gemma-v0.1,,Hugging Face,,,12.0,12.0,39.22,open,,,,,,,,,2024-03,,,,,,hf_createdat
zephyr-orpo-141b-A35b-v0.1,HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,Mixtral,Hugging Face,,,7.0,7.0,192.39,open,,,,Mixtral-8x22B-v0.1,,,,,2024-04,,,,,,hf_createdat
SmolLM-1.7B,HuggingFaceTB/SmolLM-1.7B,,Hugging Face,,,6.0,6.0,5.58,open,,,,,,,,,2024-07,,,,,,hf_createdat
SmolLM-1.7B-Instruct,HuggingFaceTB/SmolLM-1.7B-Instruct,,Hugging Face,,,6.0,6.0,5.49,open,,,,,,,,,2024-07,,,,,,hf_createdat
SmolLM-135M,HuggingFaceTB/SmolLM-135M,,Hugging Face,,,6.0,6.0,6.95,open,,,,,,,,,2024-07,,,,,,hf_createdat
SmolLM-135M-Instruct,HuggingFaceTB/SmolLM-135M-Instruct,,Hugging Face,,,6.0,6.0,3.65,open,,,,,,,,,2024-07,,,,,,hf_createdat
SmolLM-360M,HuggingFaceTB/SmolLM-360M,,Hugging Face,,,6.0,6.0,6.26,open,,,,,,,,,2024-07,,,,,,hf_createdat
SmolLM-360M-Instruct,HuggingFaceTB/SmolLM-360M-Instruct,,Hugging Face,,,6.0,6.0,5.01,open,,,,,,,,,2024-07,,,,,,hf_createdat
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B,,Hugging Face,,,6.0,6.0,9.58,open,,,,,,,,,2025-02,,,,,,web_verified
SmolLM2-1.7B-Instruct,HuggingFaceTB/SmolLM2-1.7B-Instruct,,Hugging Face,,,7.0,7.0,164.59,open,,,,,,,,,2024-10,,,,,,hf_createdat
SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,,Hugging Face,,,6.0,6.0,5.70,open,,,,,,,,,2025-02,,,,,,web_verified
SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-135M-Instruct,,Hugging Face,,,6.0,6.0,6.47,open,,,,,,,,,2024-10,,,,,,hf_createdat
SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,,Hugging Face,,,6.0,6.0,6.25,open,,,,,,,,,2025-02,,,,,,web_verified
SmolLM2-360M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct,,Hugging Face,,,6.0,6.0,3.10,open,,,,,,,,,2024-10,,,,,,hf_createdat
Ziya-LLaMA-13B-v1,IDEA-CCNL/Ziya-LLaMA-13B-v1,,IDEA Research,,,6.0,6.0,3.91,open,,,,,,,,,2023-05,,,,,,hf_createdat
neural-chat-7b-v3,Intel/neural-chat-7b-v3,Mistral,Intel,,,12.0,12.0,38.26,open,,,,Mistral v0.1 (7B),,,,,2023-10,,,,,,hf_createdat
neural-chat-7b-v3-1,Intel/neural-chat-7b-v3-1,Mistral,Intel,,,12.0,12.0,41.33,open,,,,Mistral v0.1 (7B),,,,,2023-11,,,,,,hf_createdat
neural-chat-7b-v3-2,Intel/neural-chat-7b-v3-2,Mistral,Intel,,,12.0,12.0,44.88,open,,,,Mistral v0.1 (7B),,,,,2023-11,,,,,,hf_createdat
neural-chat-7b-v3-3,Intel/neural-chat-7b-v3-3,Mistral,Intel,,,12.0,12.0,45.19,open,,,,Mistral v0.1 (7B),,,,,2023-12,,,,,,hf_createdat
neural-chat-7b-v3-3-Slerp,Intel/neural-chat-7b-v3-3-Slerp,Mistral,Intel,,,6.0,6.0,71.19,open,,,,Mistral v0.1 (7B),,,,,2023-09,,,,,,single_haiku
Amber,LLM360/Amber,,LLM360,,,6.0,6.0,40.97,open,,,,,,,,,2023-12,,,,,,sourced_evidence
AmberChat,LLM360/AmberChat,Amber,LLM360,,,6.0,6.0,44.84,open,,,,Amber (LLM360),,,,,2023-12,,,,,,sourced_evidence
K2,LLM360/K2,,LLM360,,,12.0,12.0,39.59,open,,,,,,,,,2025-07,,,,,,web_verified
K2-Chat,LLM360/K2-Chat,K2,LLM360,,,6.0,6.0,24.39,open,,,,K2 (LLM360),,,,,2025-01,,,,,,sourced_evidence
NexusRaven-V2-13B,Nexusflow/NexusRaven-V2-13B,,Nexusflow,,,6.0,6.0,8.49,open,,,,,,,,,2023-08,,,,,,sourced_evidence
Capybara-7B,NousResearch/Capybara-7B,,Nous Research,,,6.0,6.0,52.69,open,,,,,,,,,2023-08,,,,,,sourced_evidence
CodeLlama-13b-hf,NousResearch/CodeLlama-13b-hf,,Nous Research,,,7.0,7.0,43.08,open,,,,,,,,,2023-08,,,,,,corroborated_month
CodeLlama-34b-hf,NousResearch/CodeLlama-34b-hf,,Nous Research,,,7.0,7.0,39.86,open,,,,,,,,,2023-08,,,,,,corroborated_month
CodeLlama-7b-hf,NousResearch/CodeLlama-7b-hf,,Nous Research,,,7.0,7.0,39.08,open,,,,,,,,,2023-08,,,,,,corroborated_month
DeepHermes-3-Mistral-24B-Preview,NousResearch/DeepHermes-3-Mistral-24B-Preview,,Nous Research,,,6.0,6.0,31.99,open,,,,,,,,,2025-03,,,,,,hf_createdat
Hermes-2-Pro-Llama-3-8B,NousResearch/Hermes-2-Pro-Llama-3-8B,,Nous Research,,,12.0,12.0,45.40,open,,,,,,,,,2024-04,,,,,,hf_createdat
Hermes-2-Pro-Mistral-7B,NousResearch/Hermes-2-Pro-Mistral-7B,,Nous Research,,,12.0,12.0,44.64,open,,,,,,,,,2023-09,,,,,,corroborated_month
Hermes-2-Theta-Llama-3-8B,NousResearch/Hermes-2-Theta-Llama-3-8B,,Nous Research,,,12.0,12.0,46.98,open,,,,,,,,,2024-05,,,,,,hf_createdat
Hermes-3-Llama-3.1-70B,NousResearch/Hermes-3-Llama-3.1-70B,,Nous Research,,,6.0,6.0,38.51,open,,,,,,,,,2024-07,,,,,,hf_createdat
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,,Nous Research,,,6.0,6.0,23.49,open,,,,,,,,,2024-07,,,,,,hf_createdat
Hermes-3-Llama-3.2-3B,NousResearch/Hermes-3-Llama-3.2-3B,,Nous Research,,,6.0,6.0,15.24,open,,,,,,,,,2024-12,,,,,,hf_createdat
Nous-Capybara-7B,NousResearch/Nous-Capybara-7B,,Nous Research,,,6.0,6.0,52.70,open,,,,,,,,,2023-08,,,,,,sourced_evidence
Nous-Hermes-13b,NousResearch/Nous-Hermes-13b,LLaMA,Nous Research,,,6.0,6.0,54.04,open,,,,LLaMA 13B,,,,,2023-07,,,,,,sourced_evidence
Nous-Hermes-2-Mistral-7B-DPO,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,,Nous Research,,,12.0,12.0,44.60,open,,,,,,,,,2023-09,,,,,,corroborated_month
Nous-Hermes-2-Mixtral-8x7B-DPO,NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,,Nous Research,,,13.0,13.0,131.02,open,,,,,,,,,2024-01,,,,,,hf_createdat
Nous-Hermes-2-Mixtral-8x7B-SFT,NousResearch/Nous-Hermes-2-Mixtral-8x7B-SFT,,Nous Research,,,12.0,12.0,46.96,open,,,,,,,,,2023-12,,,,,,hf_createdat
Nous-Hermes-2-SOLAR-10.7B,NousResearch/Nous-Hermes-2-SOLAR-10.7B,SOLAR,Nous Research,,,12.0,12.0,47.20,open,,,,SOLAR (10.7B),,,,,2023-09,,,,,,sourced_evidence
Nous-Hermes-2-Yi-34B,NousResearch/Nous-Hermes-2-Yi-34B,,Nous Research,,,6.0,6.0,73.74,open,,,,,,,,,2023,,,,,,corroborated_year
Nous-Hermes-Llama2-13b,NousResearch/Nous-Hermes-Llama2-13b,,Nous Research,,,6.0,6.0,55.92,open,,,,,,,,,2023-07,,,,,,corroborated_month
Nous-Hermes-llama-2-7b,NousResearch/Nous-Hermes-llama-2-7b,,Nous Research,,,12.0,12.0,30.59,open,,,,,,,,,2023-07,,,,,,corroborated_month
Nous-Puffin-70B,NousResearch/Nous-Puffin-70B,,Nous Research,,,6.0,6.0,64.91,open,,,,,,,,,2023-06,,,,,,sourced_evidence
Redmond-Puffin-13B,NousResearch/Redmond-Puffin-13B,,Nous Research,,,6.0,6.0,54.74,open,,,,,,,,,2023-06,,,,,,sourced_evidence
Yarn-Llama-2-13b-128k,NousResearch/Yarn-Llama-2-13b-128k,,Nous Research,,,6.0,6.0,8.49,open,,,,,,,,,2023-07,,,,,,corroborated_month
Yarn-Llama-2-7b-128k,NousResearch/Yarn-Llama-2-7b-128k,,Nous Research,,,6.0,6.0,6.81,open,,,,,,,,,2023-07,,,,,,corroborated_month
Yarn-Llama-2-7b-64k,NousResearch/Yarn-Llama-2-7b-64k,,Nous Research,,,6.0,6.0,7.22,open,,,,,,,,,2023-07,,,,,,corroborated_month
Yarn-Mistral-7b-128k,NousResearch/Yarn-Mistral-7b-128k,,Nous Research,,,12.0,12.0,36.34,open,,,,,,,,,2023-09,,,,,,corroborated_month
Yarn-Mistral-7b-64k,NousResearch/Yarn-Mistral-7b-64k,,Nous Research,,,12.0,12.0,36.59,open,,,,,,,,,2023-09,,,,,,corroborated_month
Yarn-Solar-10b-32k,NousResearch/Yarn-Solar-10b-32k,SOLAR,Nous Research,,,6.0,6.0,15.72,open,,,,SOLAR (10.7B),,,,,2023-09,,,,,,sourced_evidence
